protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
AGO63541.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_093287610.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
RLA17056.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
AWJ65896.1	Bacteria					uncultured bacterium		77133.0
ACC85991.1	Bacteria					uncultured bacterium		77133.0
AEM46011.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AFN61292.1	Bacteria					uncultured bacterium		77133.0
TPV99439.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
QLF98450.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
WP_144637091.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis acidiphila	Amycolatopsis	715473.0
WP_051953405.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa aurea	Methylocapsa	663610.0
AEM63779.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AGI05691.1	Bacteria					uncultured bacterium		77133.0
AQU43381.1	Bacteria					uncultured bacterium		77133.0
BAH22836.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-HIRO		557143.0
AJE29841.1	Bacteria					uncultured bacterium		77133.0
AQU43463.1	Bacteria					uncultured bacterium		77133.0
AWJ65722.1	Bacteria					uncultured bacterium		77133.0
CBX88136.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ACC85974.1	Bacteria					uncultured bacterium		77133.0
AAM11613.1	Bacteria					uncultured bacterium		77133.0
BAM38059.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea sp. ETY-NAG	Haliea	1055106.0
WP_002720017.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			31989.0
AWJ64536.1	Bacteria					uncultured bacterium		77133.0
WP_141793990.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides sp. SLBN-172	Nocardioides	2768462.0
RLA17055.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
AJD00414.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
AAM34727.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus oceani	Nitrosococcus	1229.0
WP_045226820.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloterricola oryzae	Methyloterricola	1495050.0
CBI68905.1	Bacteria					uncultured bacterium		77133.0
AWJ65954.1	Bacteria					uncultured bacterium		77133.0
BAJ10264.1	Bacteria					uncultured bacterium		77133.0
ACD67400.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_020158143.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylobacter	429.0
THJ19514.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24E	Nitrospira	1985129.0
AQU43538.1	Bacteria					uncultured bacterium		77133.0
WP_017727841.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus ligniniphilus	Alkalihalobacillus	1134413.0
AAR98535.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas petroleovorans	Brachymonas	240505.0
AFC75600.1	Bacteria					uncultured bacterium		77133.0
WP_088348744.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae		Rhodomicrobium	1068.0
AEM46009.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_114454666.1	Bacteria	Actinobacteria	Actinomycetia			Halopolyspora algeriensis	Halopolyspora	1500506.0
GAW86063.1	Bacteria	Proteobacteria	Gammaproteobacteria			Bathymodiolus platifrons methanotrophic gill symbiont		113268.0
ABY83789.1	Archaea	Thaumarchaeota	Nitrososphaeria	Candidatus Nitrosocaldales	Candidatus Nitrosocaldaceae	Candidatus Nitrosocaldus yellowstonensis	Candidatus Nitrosocaldus	498375.0
WP_091622660.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis saalfeldensis	Amycolatopsis	394193.0
AXG24223.1	Bacteria	Proteobacteria				uncultured proteobacterium		153809.0
WP_198008876.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis rosea	Methylocystis	173366.0
CBX88062.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CAZ27670.1	Bacteria					uncultured bacterium		77133.0
WP_020493890.1	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium sp. 3C	Verrucomicrobium	1134055.0
AWJ65700.1	Bacteria					uncultured bacterium		77133.0
AGA83281.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
BAH28856.2	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylomarinovum caldicuralii	Methylomarinovum	438856.0
CDQ47722.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AAZ06187.1	Bacteria					uncultured bacterium		77133.0
AEO78656.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
EAA20248.1	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium yoelii	Plasmodium	73239.0
WP_005572958.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		Rhodococcus	192944.0
ATG85446.1	Bacteria					uncultured bacterium		77133.0
WP_139559040.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotetracoccus oryzae	Methylotetracoccus	1919059.0
ASM48261.1	Bacteria					uncultured bacterium		77133.0
ARQ30399.1	Bacteria					uncultured bacterium		77133.0
GEO42666.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella aerolata	Skermanella	393310.0
AQU43460.1	Bacteria					uncultured bacterium		77133.0
BAI44363.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AGO95023.1	Bacteria					uncultured bacterium		77133.0
ALX36527.1	Bacteria					uncultured bacterium		77133.0
AFK24976.1	Archaea					uncultured archaeon		115547.0
XP_018023401.1	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella azteca	Hyalella	294128.0
THI85189.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24A	Nitrospira	1985133.0
WP_136497087.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis heyeri	Methylocystis	391905.0
WP_146317314.1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Leekyejoonella antrihumi	Leekyejoonella	1660198.0
ABL85663.1	Bacteria					uncultured bacterium		77133.0
WP_028663339.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora halophila	Saccharomonospora	129922.0
ACC85993.1	Bacteria					uncultured bacterium		77133.0
TMA55077.1	Bacteria	Proteobacteria	Deltaproteobacteria			Deltaproteobacteria bacterium		2026735.0
BAC10328.1	Bacteria					uncultured bacterium		77133.0
WP_066884129.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces thermoautotrophicus	Streptomyces	1469144.0
AFM79187.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AWJ65636.1	Bacteria					uncultured bacterium		77133.0
AWJ65607.1	Bacteria					uncultured bacterium		77133.0
WP_127405948.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae		Mesorhizobium	325217.0
AAD30497.1	Bacteria					bacterium		1869227.0
WP_091681684.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa palsarum	Methylocapsa	1612308.0
ABK77030.1	Archaea	Thaumarchaeota		Cenarchaeales	Cenarchaeaceae	Cenarchaeum symbiosum	Cenarchaeum	414004.0
AFI45096.1	Bacteria					uncultured bacterium		77133.0
RLA21404.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
ADM12736.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AHL44741.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	uncultured type I methanotroph		192503.0
SBN37625.1	Bacteria					uncultured bacterium		77133.0
QVN25558.1	Bacteria					uncultured bacterium		77133.0
AAF03938.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus watsonii	Nitrosococcus	105559.0
AWJ65918.1	Bacteria					uncultured bacterium		77133.0
AFB18289.1	Bacteria					uncultured bacterium		77133.0
QLF98488.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
PZR85195.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Hyphomicrobiales bacterium		1909294.0
AAT37105.1	Bacteria					uncultured bacterium		77133.0
ABZ85786.1	Bacteria					uncultured bacterium		77133.0
GBF23843.1	Archaea					archaeon MnTg01		2080451.0
AAV91822.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
BAL70482.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AER50853.2	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AKB95634.1	Bacteria					uncultured bacterium		77133.0
KAG2476782.1	Archaea	Thaumarchaeota		Nitrosopumilales		Nitrosopumilales archaeon		2026768.0
PHS73402.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
ABC96849.1	Bacteria					uncultured bacterium		77133.0
CBX88104.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ACJ54063.1	Bacteria					uncultured bacterium		77133.0
AGO63542.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_134438934.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Phi	Methylacidiphilum	1847729.0
KAG2472633.1	Archaea	Thaumarchaeota		Nitrosopumilales		Nitrosopumilales archaeon		2026768.0
AAZ77766.1	Bacteria					uncultured bacterium		77133.0
WP_119629306.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
AMR34733.1	Bacteria					uncultured bacterium		77133.0
WP_008345854.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia zhejiangensis	Caballeronia	871203.0
ABI97131.1	Bacteria					uncultured bacterium		77133.0
ALU85044.1	Bacteria					uncultured bacterium		77133.0
ABZ85710.1	Bacteria					uncultured bacterium		77133.0
AFF58982.1	Bacteria					uncultured bacterium		77133.0
AEJ41336.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus acidophilus	Sulfobacillus	1051632.0
WP_104955387.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
AWJ65637.1	Bacteria					uncultured bacterium		77133.0
CBX88082.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AHX25628.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
PBO83941.1	Archaea	Thaumarchaeota		Nitrosopumilales		Nitrosopumilales archaeon		2026768.0
ABW75306.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
AFV95102.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
BBK20963.1	Bacteria					uncultured bacterium		77133.0
AGD80475.1	Bacteria					uncultured bacterium		77133.0
AGI05660.1	Bacteria					uncultured bacterium		77133.0
WP_136497681.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis heyeri	Methylocystis	391905.0
AIF83163.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera evergladensis	Nitrososphaera	1459636.0
AIS21156.1	Bacteria					uncultured bacterium		77133.0
AMO12865.1	Bacteria					uncultured bacterium		77133.0
AAQ56637.1	Bacteria					uncultured bacterium		77133.0
PYO18022.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
WP_205431323.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp. EFPC2	Methylococcus	2812648.0
AVY52815.1	Bacteria					uncultured bacterium		77133.0
RLA42010.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_123029560.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium sp. CECT 8783	Mycolicibacterium	2358193.0
CAD62078.1	Bacteria					uncultured soil bacterium		164851.0
WP_154734105.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter sp. W3-3-2	Conexibacter	2675227.0
TAL02095.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae bacterium		2026782.0
SDI11441.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm132	Nitrosomonas	1881053.0
ABB84337.1	Bacteria					uncultured bacterium		77133.0
WP_121257698.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter pauli	Solirubrobacter	166793.0
CBX88055.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWJ65735.1	Bacteria					uncultured bacterium		77133.0
AGO87398.1	Bacteria					uncultured bacterium		77133.0
PNE12140.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
AWJ65931.1	Bacteria					uncultured bacterium		77133.0
AUW60609.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
WP_087144449.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix polyspora	Crenothrix	360316.0
AWJ65603.1	Bacteria					uncultured bacterium		77133.0
AAT67424.1	Bacteria	Proteobacteria				uncultured methanotrophic proteobacterium		210771.0
CDQ47678.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_168451798.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter sp. KMU-166	Spongiibacter	2721624.0
WP_188649142.1	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Marinithermofilum abyssi	Marinithermofilum	1571185.0
WP_013031750.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus halophilus	Nitrosococcus	133539.0
CAH10417.1	Bacteria					uncultured methanotrophic bacterium		288814.0
OUS17542.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium 50_400_T64		1856294.0
WP_104705518.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae		Labrenzia	2648686.0
CBI68837.1	Bacteria					uncultured bacterium		77133.0
ODU81983.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium sp. SCN 63-17	Novosphingobium	1660120.0
AWJ65541.1	Bacteria					uncultured bacterium		77133.0
AHL28755.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
TLX86228.1	Archaea	Thaumarchaeota				Thaumarchaeota archaeon		2026795.0
BAM38060.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea sp. ETY-NAG	Haliea	1055106.0
PCJ38281.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales		Cellvibrionales bacterium		2026722.0
WP_208964387.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		Rhodococcus	1827.0
CBY77927.1	Bacteria					uncultured bacterium		77133.0
ACI90401.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AFU56033.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ATY36141.1	Bacteria					uncultured bacterium		77133.0
AWJ65858.1	Bacteria					uncultured bacterium		77133.0
AEK78030.1	Bacteria					uncultured bacterium		77133.0
BBK20886.1	Bacteria					uncultured bacterium		77133.0
ABF72384.1	Bacteria					uncultured bacterium		77133.0
AWJ65617.1	Bacteria					uncultured bacterium		77133.0
AWJ65880.1	Bacteria					uncultured bacterium		77133.0
WP_119628472.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
BAG12177.1	Bacteria					uncultured bacterium		77133.0
AWJ65762.1	Bacteria					uncultured bacterium		77133.0
TKS61416.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
AWJ65606.1	Bacteria					uncultured bacterium		77133.0
AAA87220.2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus trichosporium	Methylosinus	595536.0
WP_018163236.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Smaragdicoccus niigatensis	Smaragdicoccus	359359.0
CBH32473.1	Bacteria					uncultured bacterium		77133.0
WP_107568241.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter sp. Seoho-28	Conexibacter	2133960.0
ACB28542.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	uncultured type I methanotroph		192503.0
AQU43462.1	Bacteria					uncultured bacterium		77133.0
OYW01541.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium sp. 37-64-53	Acidiphilium	1970299.0
SBN37623.1	Bacteria					uncultured bacterium		77133.0
QLF98484.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
WP_051335753.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa acidiphila	Methylocapsa	133552.0
AYV61995.1	Bacteria					uncultured bacterium		77133.0
AAV67713.1	Bacteria					uncultured bacterium		77133.0
SMR98703.1	Bacteria					uncultured bacterium		77133.0
RTZ79048.1	Bacteria	Proteobacteria	Deltaproteobacteria			SAR324 cluster bacterium		2024889.0
AFM79869.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AFI78846.1	Bacteria					uncultured bacterium		77133.0
WP_064025575.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas koyamae	Methylomonas	702114.0
WP_197743978.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosacidococcus tergens	Candidatus Nitrosacidococcus	553981.0
WP_090581238.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm58	Nitrosomonas	200126.0
WP_104422305.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
BAC10316.1	Bacteria					uncultured bacterium		77133.0
ADI72456.1	Bacteria					uncultured bacterium		77133.0
ACX85404.1	Bacteria					uncultured bacterium		77133.0
BAH22845.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium SF-BR		557145.0
PZR92978.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Hyphomicrobiales bacterium		1909294.0
WP_107560875.1	Bacteria	candidate division NC10				Candidatus Methylomirabilis limnetica	Candidatus Methylomirabilis	2033718.0
AFQ37512.1	Bacteria	Proteobacteria				uncultured methane-oxidizing proteobacterium		1200390.0
WP_011436928.1	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae		Frankia	1854.0
BAH22830.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-SHO		557142.0
CAN86895.2	Bacteria					uncultured bacterium		77133.0
CAM91876.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured ammonia-oxidizing beta proteobacterium		254004.0
ADP55686.1	Bacteria					uncultured bacterium		77133.0
WP_153247436.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira mobilis	Candidatus Methylospira	1808979.0
BAF62130.1	Bacteria					uncultured bacterium		77133.0
CAM91735.4	Bacteria					uncultured bacterium		77133.0
PNE12180.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
WP_142702571.1	Bacteria	Actinobacteria	Actinomycetia	Cryptosporangiales	Cryptosporangiaceae	Cryptosporangium phraense	Cryptosporangium	2593070.0
TKS61417.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_202377341.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium paraintracellulare	Mycobacterium	1138383.0
WP_045226286.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloterricola oryzae	Methyloterricola	1495050.0
WP_148771178.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium rifense	Bradyrhizobium	515499.0
ETZ44710.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium avium	Mycobacterium	1335419.0
CBI84150.1	Bacteria					uncultured bacterium		77133.0
AIN34942.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_020174570.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methyloferula stellata	Methyloferula	876270.0
AYV62103.1	Bacteria					uncultured bacterium		77133.0
PWU24875.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
QMU54755.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus sp.	Nitrosopumilus	2024843.0
ACI90427.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ALX36823.1	Bacteria					uncultured bacterium		77133.0
